banner,bullets,sort_order
TOPIC 1: BASIC LIFE SUPPORT (BLS),"[""BLS = CPR using no equipment beyond a barrier device \\u00b1 AED. Guidelines updated every 5 years by ILCOR/AHA/ERC."",""3 cardinal signs of cardiac arrest: unresponsiveness, no major pulse, apnoea (including agonal breathing)."",""D-R-C-A-B: Danger \\u2192 Response \\u2192 Compressions \\u2192 Airway \\u2192 Breathing."",""Adult compressions: rate 100\\u2013120/min, depth 5\\u20136cm, ratio 30:2 (1 rescuer); intubated patient: continuous compressions + 10 breaths/min."",""Chain of Survival: early recognition, early CPR, early defibrillation, early ALS, post-resuscitation care."",""Infant choking: back blows + chest thrusts only (never abdominal). Drowning: 5 rescue breaths first, then 30:2."",""Post-ROSC care supports 4 systems: airway/breathing, circulation, brain (targeted temperature management), glucose control.""]",0
TOPIC 2: ANATOMY & PHYSIOLOGY OF THE SKIN,"[""Largest organ: surface area ~2m\\u00b2, weight 4.5\\u20135kg (12\\u201315% of body weight)."",""Two main layers: Epidermis (outer, avascular, keratinised) and Dermis (inner, 1\\u20135mm, vessels/nerves/glands/follicles)."",""Thinnest skin = upper eyelid (<0.1mm). Thickest = palms/soles (up to 1.5mm)."",""Thin skin has 4 epidermal layers; thick skin (palms/soles) has 5 (adds stratum lucidum)."",""Keratinocytes = 95% of epidermis, turnover every 28\\u201342 days."",""Melanocyte activity declines 10\\u201320% per decade after age 30. Dermis loses about 20% thickness with intrinsic ageing.""]",1
TOPIC 3: OVERVIEW OF BURNS & CCU MANAGEMENT,"[""A burn = coagulative necrosis of tissue, mostly from thermal effect."",""Jackson's zones: Centre = coagulation (dead). Middle = stasis (SALVAGEABLE \\u2014 main treatment target). Outside = hyperaemia (heals alone)."",""Rule of Nines: head/neck 9%, each arm 9%, front trunk 18%, back trunk 18%, each leg 18%, perineum 1%."",""Parkland formula: 4ml \\u00d7 weight(kg) \\u00d7 %TBSA = total fluid for first 24h; half in first 8h, rest over next 16h."",""Burns >20% TBSA cause systemic burn shock (SIRS)."",""Leading cause of death after 48 hours = sepsis. Curreri nutrition formula = 25kcal\\u00d7kg + 40kcal\\u00d7%TBSA.""]",2
TOPIC 4: SPECIAL BURNS & THEIR COMPLICATIONS,"[""Inhalational injury causes 90% of burn deaths despite affecting only about a third of patients."",""CO binds haemoglobin 240\\u00d7 more strongly than oxygen \\u2014 treated with humidified 100% oxygen."",""Electrical burns: deceptive wounds; cardiac monitoring mandatory for 24\\u201348 hours; low voltage (<1000V) risk = cardiac arrest."",""Myoglobinuria (dark urine) after electrical burns = muscle breakdown \\u2014 treated with double fluids + mannitol + sodium bicarbonate."",""Chemical burns: copious water irrigation, NEVER neutralising agents."",""Frostbite: rapid rewarming in warm water 38\\u201342\\u00b0C; never rub frozen tissue or re-expose to cold.""]",3
TOPIC 5: ORTHOPAEDIC PATIENT \u2014 ICU MANAGEMENT,"[""7 pairs of orthopaedic conditions: congenital/developmental, infection/inflammation, arthritis/rheumatic, metabolic/endocrine, tumours/lesions, neurological/muscle weakness, injury/mechanical."",""ICU admission thresholds: SpO\\u2082<90%, HR<55 or >110bpm, obtunded consciousness, need for organ support."",""Fat embolism triad: confusion + dyspnoea + petechiae, classically after femur fracture."",""The 3 Ms of ICU management: Manpower, Machine, Money."",""Turn patients every 2 hours; start nutrition within 24\\u201348 hours; daily weight is the most accurate fluid balance measure."",""ICU costs roughly 4\\u00d7 more than general ward care.""]",4
TOPIC 6: GASTROINTESTINAL (GI) BLEEDING,"[""Ligament of Treitz (L1\\u2013L2) divides Upper GI bleed (above) from Lower GI bleed (below)."",""Melaena = 90% upper GI source. Haematochezia = >90% colonic/lower source."",""Management sequence: DRIP \\u2192 BLOOD \\u2192 DRUGS (PPI+octreotide) \\u2192 LOOK (endoscopy)."",""Oesophageal varices: EVL preferred; do NOT over-transfuse (raises portal pressure)."",""Best predictor of rebleeding = magnitude of initial bleed. #1 cause of lower GI bleed = diverticular disease."",""Massive UGIB = >1000ml or >3g/dL Hb drop in 2\\u20134 hours.""]",5
TOPIC 7: HEPATIC FAILURE,"[""FHF = encephalopathy within <2 weeks in a PREVIOUSLY NORMAL liver. #1 cause = paracetamol overdose (50%)."",""Subacute/subfulminant = 2\\u201312 weeks, previously normal liver, rare."",""Chronic (PSE) = occurs in an ALREADY diseased liver (cirrhosis + portal hypertension) \\u2014 most common type on wards."",""Memory aid: FHF = FAST + FLAT; PSE = SLOW + SWOLLEN."",""Lactulose traps ammonia (NH3) as NH4+ in the acidic colon for excretion."",""FHF transplant criteria include age <10 or >40, PT >50 seconds, bilirubin >300micromol/L.""]",6
TOPIC 8: ACUTE SEVERE ASTHMA (ASA),"[""A 'silent chest' means almost no air is moving \\u2014 extreme danger sign."",""Key pathophysiology: gas trapping with dynamic hyperinflation and intrinsic PEEP (PEEPi)."",""O2 target = 93\\u201395%. Steroids within 1 hour. MgSO4 = 2g IV over 20 minutes after 1 hour of failed improvement."",""Salbutamol can cause hypokalaemia \\u2014 monitor and replace potassium."",""High-risk patients: previous ICU admission/intubation, SABA overuse >1 canister/month, poor ICS adherence."",""Severity: Severe = RR>25, HR>110, PEF 33\\u201350%. Life-threatening = silent chest, PEF<33%, SpO2<92%.""]",7
TOPIC 9: ICU MANAGEMENT OF LIFE-THREATENING ASTHMA,"[""Absolute indications to intubate NOW: cardiopulmonary arrest, decreasing consciousness, severe refractory hypoxaemia."",""Somnolence in a severe asthmatic = rising CO2, impending arrest \\u2014 intubate without delay."",""Ventilator settings: LOW everything \\u2014 tidal volume 5\\u20137ml/kg, rate 8\\u201310/min, minimal PEEP (<5cmH2O), I:E ratio >1:2."",""Peak inspiratory pressure must stay under 40cmH2O to avoid lung rupture."",""FiO2 starts at 1.0 (100%); humidification is used to reduce thick secretions.""]",8
TOPIC 10: COMPLICATIONS OF FRACTURES & TETANUS,"[""Compartment syndrome = 5 Ps: Pain, Pallor, Paraesthesia, Pulselessness, Pain on passive stretch."",""Tetanus toxin blocks glycine + GABA \\u2014 'no brakes' \\u2014 continuous muscle contraction."",""First symptom = trismus (lockjaw); second = risus sardonicus."",""4 forms: Generalised (most common), Localised, Cephalic (high mortality), Neonatal (very high mortality)."",""Diazepam first-choice for spasms (10\\u201330mg every 6\\u20138h). Tubocurarine for severe cases only. Quiet, dark room."",""Incubation period average 6\\u201310 days (up to 20\\u201330 days). IPPV duration 12\\u201330 days when needed.""]",9
