id,topic,source,q,opts,ans_idx,exp,category,category_icon,is_active
1,TOPIC 1: BASIC LIFE SUPPORT (BLS),CCN Curriculum,Which of the following is the correct sequence for adult BLS?,"[""A-B-C-D-R"",""D-R-C-A-B"",""R-D-A-B-C"",""C-A-B-D-R""]",1,"Danger first for your own safety, then Response, then Compressions immediately, then Airway, then Breathing.",Mixed Revision,📚,true
2,TOPIC 1: BASIC LIFE SUPPORT (BLS),CCN Curriculum,The compression rate for adult CPR should be:,"[""60–80/min"",""80–100/min"",""100–120/min"",""120–140/min""]",2,"Fast enough to move blood, not so fast the chest can't recoil fully between compressions.",Mixed Revision,📚,true
3,TOPIC 1: BASIC LIFE SUPPORT (BLS),CCN Curriculum,Agonal breathing in an unresponsive patient should be treated as:,"[""Normal breathing"",""Cardiac arrest — start CPR"",""Choking"",""Recovery position only""]",1,Agonal gasping looks like breathing but is actually a sign the heart has stopped.,Cardiovascular,🫀,true
4,TOPIC 1: BASIC LIFE SUPPORT (BLS),CCN Curriculum,"In infant choking, abdominal thrusts are avoided because:","[""Too painful"",""The liver is large and unprotected"",""Infants can't choke on solids"",""No effect on infants""]",1,"An infant's liver sits low and unprotected, so hard abdominal thrusts risk injuring it.","GI, Endocrine & Metabolic",🍽️,true
5,TOPIC 1: BASIC LIFE SUPPORT (BLS),CCN Curriculum,An AED pad should be placed from an implanted pacemaker:,"[""Directly over it"",""At least 1 inch away"",""Opposite side of body only"",""Distance doesn't matter""]",1,Placing the pad too close can damage the device or reduce shock delivery.,Mixed Revision,📚,true
6,TOPIC 1: BASIC LIFE SUPPORT (BLS),CCN Curriculum,"In a drowning victim, initial management begins with:","[""30 chest compressions"",""5 rescue breaths"",""Pulse check for 30 seconds"",""Immediate defibrillation""]",1,"Drowning collapse is caused by hypoxia, not a primary cardiac event, so oxygen (breaths) comes first.",Cardiovascular,🫀,true
7,TOPIC 1: BASIC LIFE SUPPORT (BLS),CCN Curriculum,The following are links in the Chain of Survival EXCEPT:,"[""Early recognition"",""Early defibrillation"",""Delayed advanced life support"",""Post-resuscitation care""]",2,Every real link is about acting EARLY — 'delayed' is the opposite of what the chain requires.,Cardiovascular,🫀,true
8,TOPIC 1: BASIC LIFE SUPPORT (BLS),CCN Curriculum,"After ROSC, targeted temperature management is used to protect:","[""The kidneys"",""The brain"",""The liver"",""The skin""]",1,The brain remains vulnerable to injury after the heart restarts; controlling temperature helps protect it.,Neurology,🧠,true
9,TOPIC 1: BASIC LIFE SUPPORT (BLS),CCN Curriculum,"For a conscious adult with mild choking (still able to cough), the correct action is:","[""5 back slaps immediately"",""Encourage coughing, do not intervene yet"",""Start abdominal thrusts"",""Begin CPR""]",1,"A patient who can still cough effectively is still moving air — coughing is the body's own most effective clearing mechanism, so you let it work first.",Mixed Revision,📚,true
10,TOPIC 1: BASIC LIFE SUPPORT (BLS),CCN Curriculum,"For severe choking in a conscious adult, management alternates between:","[""5 back slaps and 5 abdominal thrusts"",""10 chest compressions and rescue breaths"",""Head-tilt chin-lift and jaw thrust"",""Recovery position and CPR""]",0,Alternating back slaps and abdominal thrusts gives two different mechanical ways to dislodge the obstruction.,Respiratory,🫁,true
11,TOPIC 1: BASIC LIFE SUPPORT (BLS),CCN Curriculum,"In pregnant or obese choking victims, thrusts should be delivered as:","[""Abdominal thrusts as normal"",""Chest thrusts instead of abdominal"",""No thrusts at all"",""Back blows only, no thrusts""]",1,"An enlarged abdomen (pregnancy/obesity) makes abdominal thrusts less effective and less safe, so chest thrusts are used instead.","GI, Endocrine & Metabolic",🍽️,true
12,TOPIC 1: BASIC LIFE SUPPORT (BLS),CCN Curriculum,"For an unconscious choking adult, the correct approach is to:","[""Start CPR, checking the mouth before each breath"",""Wait for the ambulance without doing anything"",""Perform abdominal thrusts only"",""Place immediately in recovery position""]",0,"Once unconscious, CPR is started, and the mouth is checked for a visible object before each rescue breath is attempted.",Respiratory,🫁,true
13,TOPIC 1: BASIC LIFE SUPPORT (BLS),CCN Curriculum,CPR may be stopped in all of the following situations EXCEPT:,"[""Return of spontaneous circulation"",""A qualified person takes over"",""The rescuer feels the situation is hopeless"",""A physician pronounces death""]",2,A rescuer's personal feeling that it's 'hopeless' is not on its own a valid reason to stop — CPR continues until one of the defined stopping criteria is met.,Mixed Revision,📚,true
14,TOPIC 1: BASIC LIFE SUPPORT (BLS),CCN Curriculum,An ETCO₂ reading below what value after 20 minutes of CPR may prompt consideration of stopping resuscitation?,"[""<10mmHg"",""<25mmHg"",""<40mmHg"",""<60mmHg""]",0,A persistently very low ETCO₂ after prolonged good-quality CPR suggests very poor circulation is being generated and survival is unlikely.,Mixed Revision,📚,true
15,TOPIC 1: BASIC LIFE SUPPORT (BLS),CCN Curriculum,"In an intubated patient during CPR, ventilation should be given at:","[""30:2 ratio, same as non-intubated"",""Continuous compressions + 10 breaths/min"",""1 breath every compression"",""No breaths, compressions only""]",1,"Once the airway is secured with a tube, compressions no longer need to pause for breaths — they continue non-stop while breaths are added at a steady rate of about 1 every 6 seconds.",Respiratory,🫁,true
16,TOPIC 1: BASIC LIFE SUPPORT (BLS),CCN Curriculum,"The origin of modern intensive/critical care, including artificial ventilation, is credited to the:","[""Influenza pandemic of 1918"",""Polio epidemic of the early 1950s"",""World War II battlefield medicine"",""HIV epidemic of the 1980s""]",1,"During the polio epidemic, patients with paralysed breathing muscles needed artificial ventilation, and this need is what led to the development of the modern ICU.",Respiratory,🫁,true
17,TOPIC 1: BASIC LIFE SUPPORT (BLS),CCN Curriculum,The correct compression-to-ventilation ratio for a single rescuer performing adult CPR is:,"[""15:1"",""30:2"",""15:2"",""5:1""]",1,"For a single rescuer on an adult, 30 compressions are followed by 2 breaths, repeated in cycles.",Respiratory,🫁,true
18,TOPIC 1: BASIC LIFE SUPPORT (BLS),CCN Curriculum,"For a 2-rescuer child (not infant) CPR, the compression-to-ventilation ratio is:","[""30:2"",""15:2"",""30:1"",""5:1""]",1,"With 2 trained rescuers present for a child, the ratio changes to 15 compressions to 2 breaths, allowing more frequent ventilation for the smaller patient.",Respiratory,🫁,true
19,TOPIC 1: BASIC LIFE SUPPORT (BLS),CCN Curriculum,Pulse check location in an infant during CPR assessment is the:,"[""Carotid artery"",""Radial artery"",""Brachial artery"",""Femoral artery""]",2,"An infant's short, chubby neck makes the carotid pulse hard to feel reliably, so the brachial pulse (inner upper arm) is used instead.",Cardiovascular,🫀,true
20,TOPIC 1: BASIC LIFE SUPPORT (BLS),CCN Curriculum,The compression depth recommended for an infant during CPR is approximately:,"[""1cm"",""4cm"",""5–6cm"",""8cm""]",1,"An infant's chest is much smaller and more fragile, so the target compression depth is shallower, at about 4cm, compared to 5–6cm in an adult.",Mixed Revision,📚,true
21,TOPIC 2: ANATOMY & PHYSIOLOGY OF THE SKIN,CCN Curriculum,The skin is considered the body's:,"[""Smallest organ"",""Largest organ"",""Only avascular organ"",""Most vascular organ""]",1,"By surface area and weight, the skin is the body's single largest organ.",Mixed Revision,📚,true
22,TOPIC 2: ANATOMY & PHYSIOLOGY OF THE SKIN,CCN Curriculum,Which layer of the skin is avascular?,"[""Dermis"",""Hypodermis"",""Epidermis"",""Subcutaneous fat""]",2,The epidermis has no blood vessels of its own; it gets nutrients by diffusion from the dermis below.,Mixed Revision,📚,true
23,TOPIC 2: ANATOMY & PHYSIOLOGY OF THE SKIN,CCN Curriculum,The thinnest skin on the body is found at the:,"[""Palms"",""Soles"",""Upper eyelid"",""Back""]",2,"Eyelid skin is under 0.1mm thick, allowing rapid, easy blinking.",Mixed Revision,📚,true
24,TOPIC 2: ANATOMY & PHYSIOLOGY OF THE SKIN,CCN Curriculum,Thick skin differs from thin skin by having an extra layer called the:,"[""Stratum basale"",""Stratum lucidum"",""Stratum corneum"",""Stratum granulosum""]",1,The extra stratum lucidum toughens high-friction areas like palms and soles.,Mixed Revision,📚,true
25,TOPIC 2: ANATOMY & PHYSIOLOGY OF THE SKIN,CCN Curriculum,Keratinocytes make up approximately what percentage of the epidermis?,"[""50%"",""75%"",""95%"",""100%""]",2,"They are the dominant epidermal cell type, at about 95%.",Mixed Revision,📚,true
26,TOPIC 2: ANATOMY & PHYSIOLOGY OF THE SKIN,CCN Curriculum,Which of the following is NOT a function of the skin?,"[""Heat regulation"",""Protection against microorganisms"",""Vitamin D synthesis"",""Production of red blood cells""]",3,"Red blood cells are made in bone marrow, not skin.",Mixed Revision,📚,true
27,TOPIC 2: ANATOMY & PHYSIOLOGY OF THE SKIN,CCN Curriculum,The approximate turnover time for keratinocytes is:,"[""7 days"",""28–42 days"",""6 months"",""2 years""]",1,It takes roughly a month for a new keratinocyte to form at the base and be shed at the surface.,Mixed Revision,📚,true
